English,Spanish
the mop,la mopa
the oven mitts,los guantes de cocina
the apron,el delantal
the shelf,el estante
the container,el recipiente
the food container,el envase de alimentos
the lunch box,la lonchera
the cutting mat,la alfombrilla de corte
the spice rack,el estante para especias
the vent hood,la campana extractora
the pressure cooker,la olla a presión
the deep fryer,la freidora
the air fryer,la freidora de aire
the induction cooktop,la cocina de inducción
the baking dish,la fuente para horno
the knife block,el bloque de cuchillos
the teaspoon,la cucharita
the tablespoon,la cuchara sopera
the ladle,el cucharón
the slotted spoon,la cuchara ranurada
the cooking spoon,la cuchara de cocina
the measuring spoon,la cuchara medidora
the pastry brush,la brocha de repostería
the sieve,el tamiz
the mortar and pestle,el mortero y la maja
the garlic press,la prensa de ajo
the zester,el rallador de cítricos
the ice cream scoop,la cuchara para helado
the pizza cutter,el cortapizza
the scissors,las tijeras
the splatter guard,el protector contra salpicaduras
the egg separator,el separador de huevos
the food scale,la balanza de cocina
the timer,el temporizador
the thermometer,el termómetro de cocina
the oil dispenser,el dispensador de aceite
the spice grinder,el molinillo de especias
the rolling mat,la esterilla para amasar
the pastry cutter,el cortador de masa
the dough scraper,el rascador de masa
the salad spinner,la centrifugadora de ensalada
the silicone mat,la estera de silicona
the trivet,el salvamanteles
the pot holders,las agarraderas
the drawer organizer,el organizador de cajones
the lazy Susan,el plato giratorio
the storage jar,el tarro de almacenamiento
the paper towel holder,el portal de papel de cocina
the canister,el bote
the recipe box,la caja de recetas
