English,Spanish
the chicken,el pollo
the beef,la carne de res
the pork,el cerdo
the lamb,el cordero
the turkey,el pavo
the duck,el pato
the fish,el pescado
the shrimp,el camarón
the lobster,la langosta
the crab,el cangrejo
the clam,la almeja
the mussel,el mejillón
the oyster,la ostra
the salmon,el salmón
the tuna,el atún
the cod,el bacalao
the sardine,la sardina
the milk,la leche
the cheese,el queso
the yogurt,el yogur
the butter,la mantequilla
the cream,la crema
the egg,el huevo
the ice cream,el helado
the bread,el pan
the rice,el arroz
the pasta,la pasta
the cereal,el cereal
the oatmeal,la avena
the cornmeal,la harina de maíz
the flour,la harina
the pancake,el panqueque
the waffle,el gofre
the muffin,el muffin
the cookie,la galleta
the cake,el pastel
the pie,la tarta
the croissant,el cruasán
the bagel,el bagel
the donut,la dona
the cracker,la galleta salada
the scone,el scone
the lentils,las lentejas
the beans,los frijoles
the chickpeas,los garbanzos
the peanuts,los cacahuetes
the almonds,las almendras
the walnuts,las nueces
the cashews,los anacardos
the pistachios,los pistachos
